==================================================
🚀 INICIANDO FINE-TUNE DEEPSEEK PARA AGRONOMIA
==================================================

📥 Carregando dataset...
✅ Dataset carregado com 15000 exemplos.

🔧 Carregando modelo e tokenizador...
==((====))==  Unsloth 2026.9.11: Fast Qwen2 patching. Transformers: 5.5.0.
   \\   /|    Tesla T4. Num GPUs = 1. Max memory: 14.563 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.11.0+cu130. CUDA: 7.5. CUDA Toolkit: 13.0. Triton: 3.6.0
\        /    Bfloat16 = FALSE. FA [Xformers = 0.0.35. FA2 = False]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!

Loading weights: 100%
 339/339 [00:01<00:00, 444.97it/s]

Unsloth: Will load unsloth/deepseek-r1-distill-qwen-1.5b-unsloth-bnb-4bit as a legacy tokenizer.

✅ Modelo carregado com sucesso!

🔄 Filtrando e formatando dataset...
✅ Filtrados: 15000 exemplos válidos.
✅ Dataset formatado com sucesso!

⚙️ Configurando LoRA...
✅ LoRA configurado.

🏋️‍♂️ Iniciando treinamento...
Unsloth: We found double BOS tokens - we shall remove one automatically.

Unsloth: Tokenizing ["text"] (num_proc=2): 100%
 15000/15000 [00:04<00:00, 5610.37 examples/s]

==((====))==  Unsloth - 2x faster free finetuning | Num GPUs used = 1
   \\   /|    Num examples = 15,000 | Num Epochs = 3 | Total steps = 5,625
O^O/ \_/ \    Batch size per device = 4 | Gradient accumulation steps = 2
\        /    Data Parallel GPUs = 1 | Total batch size (4 x 2 x 1) = 8
 "-____-"     Trainable parameters = 17,432,576 of 1,794,520,576 (0.97% trained)
`use_return_dict` is deprecated! Use `return_dict` instead!

Unsloth: Will smartly offload gradients to save VRAM!

/usr/local/lib/python3.13/dist-packages/unsloth/import_fixes.py:4091: UserWarning: 'has_cuda' is deprecated, please use 'torch.backends.cuda.is_built()'
  return original(name)
/usr/local/lib/python3.13/dist-packages/unsloth/import_fixes.py:4091: UserWarning: 'has_cudnn' is deprecated, please use 'torch.backends.cudnn.is_available()'
  return original(name)
/usr/local/lib/python3.13/dist-packages/unsloth/import_fixes.py:4091: UserWarning: 'has_mps' is deprecated, please use 'torch.backends.mps.is_built()'
  return original(name)
/usr/local/lib/python3.13/dist-packages/unsloth/import_fixes.py:4091: UserWarning: 'has_mkldnn' is deprecated, please use 'torch.backends.mkldnn.is_available()'
  return original(name)

[5625/5625 1:44:33, Epoch 3/3]
Step 	Training Loss
2280 	2.347906
2290 	2.203138
2300 	2.466985
2310 	2.199809
2320 	2.135210
2330 	2.235134
2340 	2.288889
2350 	2.086485
2360 	2.042526
2370 	2.251549
2380 	2.110244
2390 	2.208842
2400 	2.306356
2410 	2.232346
2420 	2.327393
2430 	2.295075
2440 	2.185961
2450 	2.147992
2460 	2.407391
2470 	2.275139
2480 	2.206433
2490 	2.262769
2500 	2.151059
2510 	2.219750
2520 	2.281113
2530 	2.309655
2540 	2.211082
2550 	2.298229
2560 	2.214347
2570 	2.162785
2580 	2.308231
2590 	2.180208
2600 	2.278507
2610 	2.205851
2620 	2.138700
2630 	2.147181
2640 	1.988544
2650 	2.316464
2660 	2.216837
2670 	2.124280
2680 	2.248700
2690 	2.299183
2700 	2.113805
2710 	2.206474
2720 	2.241227
2730 	2.184466
2740 	2.216651
2750 	2.104108
2760 	2.152199
2770 	2.271099
2780 	2.207054
2790 	2.354242
2800 	2.175312
2810 	2.043827
2820 	2.152713
2830 	2.014628
2840 	2.126720
2850 	2.120570
2860 	2.179033
2870 	2.006983
2880 	2.261267
2890 	2.220969
2900 	2.100141
2910 	2.074757
2920 	2.211732
2930 	2.030903
2940 	2.038220
2950 	2.259252
2960 	2.106594
2970 	2.209128
2980 	2.274204
2990 	2.136977
3000 	2.168945
3010 	1.929785
3020 	2.208465
3030 	2.243710
3040 	2.169139
3050 	1.968432
3060 	2.081126
3070 	2.080617
3080 	2.233415
3090 	2.153056
3100 	2.297792
3110 	2.255225
3120 	2.187244
3130 	2.096178
3140 	2.147113
3150 	2.136256
3160 	2.153447
3170 	2.143519
3180 	1.980980
3190 	2.066879
3200 	2.109375
3210 	1.984515
3220 	2.016034
3230 	2.160488
3240 	2.144723
3250 	1.966395
3260 	2.156476
3270 	2.063405
3280 	2.121128
3290 	2.009866
3300 	2.071164
3310 	1.991895
3320 	2.050598
3330 	2.081695
3340 	2.210206
3350 	2.031264
3360 	1.919431
3370 	2.012166
3380 	2.197842
3390 	2.032245
3400 	2.067964
3410 	2.069620
3420 	2.126599
3430 	2.086809
3440 	2.115171
3450 	1.937252
3460 	2.140663
3470 	2.130134
3480 	2.035269
3490 	2.045943
3500 	2.044705
3510 	2.033932
3520 	2.000329
3530 	2.130526
3540 	2.009668
3550 	2.134195
3560 	1.921630
3570 	2.127806
3580 	1.957394
3590 	2.204091
3600 	1.944431
3610 	2.206782
3620 	1.905087
3630 	2.099113
3640 	2.141101
3650 	1.945218
3660 	2.082899
3670 	1.996076
3680 	2.022466
3690 	1.889475
3700 	2.143551
3710 	2.118497
3720 	2.126883
3730 	1.890469
3740 	2.019863
3750 	1.972432
3760 	1.908113
3770 	1.894589
3780 	1.788148
3790 	1.702551
3800 	2.020936
3810 	1.956848
3820 	1.958177
3830 	1.923935
3840 	1.810211
3850 	2.018585
3860 	1.847473
3870 	1.897868
3880 	1.930288
3890 	1.853256
3900 	1.851742
3910 	1.793694
3920 	1.987598
3930 	1.852806
3940 	1.941676
3950 	1.949384
3960 	1.977250
3970 	1.915039
3980 	1.907907
3990 	1.976667
4000 	1.905294
4010 	1.832640
4020 	1.963615
4030 	1.804621
4040 	1.837057
4050 	1.800343
4060 	1.675976
4070 	1.912353
4080 	1.794852
4090 	1.691446
4100 	1.820473
